Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_1042_1x18650",-5.000000,-110.000000,-90.000000,bottom
"BT2","Battery_Cell","BatteryHolder_Keystone_1042_1x18650",-195.000000,-110.000000,-90.000000,bottom
"F1","Fuse","FuseHolder_Keystone_3550-2",-195.580000,-43.180000,0.000000,bottom
"J3","Micro_SD_Card_Det","microSDCardConnector_TF01A",-54.890000,-208.262000,180.000000,bottom
"SW1","SW_SPDT","SW_SPDT_CK-JS102011SAQN",-187.452000,-5.334000,0.000000,bottom
"SW4","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-75.000000,-188.722000,180.000000,bottom
"SW5","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-115.165500,-200.170750,180.000000,bottom
"SW6","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-87.829750,-188.722000,180.000000,bottom
"SW7","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-128.270000,-200.152000,180.000000,bottom
"SW8","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-101.441750,-188.722000,180.000000,bottom
"SW9","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-74.930000,-212.107500,180.000000,bottom
"SW10","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-114.911500,-188.722000,180.000000,bottom
"SW11","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-87.884000,-212.090000,180.000000,bottom
"SW12","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-128.258000,-188.710000,180.000000,bottom
"SW13","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-101.600000,-212.090000,180.000000,bottom
"SW14","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-75.025750,-200.247750,180.000000,bottom
"SW15","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-115.221250,-212.166500,180.000000,bottom
"SW16","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-87.884000,-200.152000,180.000000,bottom
"SW17","SW_Push","SW_PUSH_1P1T_NO_6x6mm_H5mm",-101.530250,-200.120750,180.000000,bottom
