Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",138.501000,-186.113500,-90.000000,top
"C2","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.137000,-186.113500,-90.000000,top
"C3","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.773000,-186.113500,-90.000000,top
"C4","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.409000,-186.113500,-90.000000,top
"C5","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-1.677500,-26.977139,180.000000,top
"C6","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-1.677500,-35.613139,180.000000,top
"C7","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-1.677500,-44.249139,180.000000,top
"C8","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-1.677500,-52.885139,180.000000,top
"C12","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",8.128000,-191.262000,180.000000,top
"C13","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",8.128000,-196.850000,180.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.542000,-186.690000,90.000000,top
"C17","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",19.304000,-202.692000,-90.000000,top
"C18","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",14.732000,-203.891301,-90.000000,top
"C20","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-1.524000,-200.660000,180.000000,top
"C21","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-7.112000,-185.420000,90.000000,top
"C22","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",3.556000,-186.944000,180.000000,top
"C23","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",192.278000,-33.020000,180.000000,top
"C24","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",192.024000,-23.876000,90.000000,top
"C25","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",207.264000,-29.464000,-90.000000,top
"C26","27pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",34.036000,-202.184000,-90.000000,top
"C27","27pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",34.036000,-194.209500,90.000000,top
"C28","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",204.978000,-20.574000,0.000000,top
"C29","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",199.898000,-16.256000,0.000000,top
